Order_ID,Order_Date,Product,Category,Quantity,Price,Revenue,Region,Customer_Type
1000,2021-01-05,Laptop,Computers,2,850.50,1701.00,North,Regular
1001,2021-01-08,Mouse,Accessories,5,22.30,111.50,South,New
1002,2021/01/12,Keyboard,Accessories,3,45.80,137.40,East,Premium
1003,2021-01-15,Monitor,Display,1,320.00,,West,VIP
1004,2021-01-18,Headphones,Audio,4,,280.00,Central,Regular
1005,2021-01-22,Webcam,Accessories,2,58.90,117.80,North,Premium
1006,2021-02-03,USB Cable,Accessories,10,9.50,95.00,South,New
1007,2021-02-07,Hard Drive,Storage,,95.00,380.00,East,Regular
1008,2021/02/11,SSD,Storage,3,165.00,495.00,West,VIP
1009,2021-02-15,RAM,Components,6,75.50,453.00,Central,Premium
1010,2021-02-20,Graphics Card,Components,1,520.00,780.00,North,VIP
1011,2021-02-25,Motherboard,Components,2,185.00,370.00,South,Regular
1012,2021-03-01,Power Supply,Components,3,88.00,264.00,East,New
1013,2021/03/05,Case,Components,4,72.50,290.00,West,Premium
1014,2021-03-10,CPU Cooler,Components,5,38.00,190.00,Central,Regular
1015,2021-03-15,Laptop,Computers,1,920.00,920.00,North,VIP
1000,2021-01-05,Laptop,Computers,2,850.50,1701.00,North,Regular
1016,2021-03-20,Mouse,Accessories,8,24.00,192.00,South,New
1017,2021-03-25,Keyboard,Accessories,,52.00,208.00,East,Premium
1018,2021-04-01,Monitor,Display,2,290.00,580.00,West,Regular
