Order_ID,Order_Date,Product,Category,Quantity,Price,Revenue,Region,Customer_Type
11151,2022-06-15,Power Supply,Components,4.0,83.96,335.85,South,Regular
15906,2023-11-01,SSD,Storage,2.0,132.49,264.98,East,New
11202,2022-07-05,Laptop,Computers,6.0,887.55,5325.28,East,VIP
14799,2023-08-10,Power Supply,Components,5.0,76.93,384.67,Central,New
14635,2023-07-15,Webcam,Accessories,7.0,54.75,383.23,East,New
13172,2023-02-13,RAM,Components,8.0,71.46,571.66,South,VIP
13454,2023-03-22,RAM,Components,2.0,89.35,178.7,North,Regular
12390,2022-11-06,Power Supply,Components,4.0,,319.0,West,New
10709,2022-04-21,Webcam,Accessories,1.0,63.68,63.68,Central,Premium
10669,2022-04-22,CPU Cooler,Components,6.0,41.85,251.12,South,New
11038,2022-06-03,Hard Drive,Storage,1.0,108.97,108.97,Central,Premium
10032,2022-01-17,Hard Drive,Storage,2.0,92.44,184.87,North,New
12527,2022-12-22,Motherboard,Components,4.0,174.23,696.93,North,Regular
10136,2022-01-18,Power Supply,Components,7.0,92.87,650.09,Central,Premium
10952,2022-05-25,RAM,Components,2.0,73.33,146.66,East,VIP
12479,2022-11-24,Webcam,Accessories,4.0,59.38,237.5,Central,Regular
13598,2023-04-09,USB Cable,Accessories,8.0,9.33,74.62,South,Regular
10965,2022-05-07,SSD,Storage,5.0,152.2,760.98,Central,Premium
15511,2023-10-04,Headphones,Audio,8.0,80.64,645.1,North,Regular
11276,2022-07-12,Power Supply,Components,1.0,97.16,128.91592418932834,East,VIP
10870,2022-05-25,Headphones,Audio,6.0,75.8,454.81,Central,VIP
14719,2023-08-15,Case,Components,6.0,75.73,602.9035281225699,South,Premium
13644,2023-04-01,CPU Cooler,Components,8.0,35.55,284.39,South,Regular
12440,2022-11-25,Webcam,Accessories,1.0,62.46,62.46,Central,New
15574,2023-11-05,Monitor,Display,2.0,319.17,638.34,South,Premium
12278,2022-11-15,RAM,Components,6.0,70.33,421.99,South,Regular
11799,2022-09-03,RAM,Components,6.0,70.84,425.04,North,Regular
12576,2022-12-22,USB Cable,Accessories,3.0,8.83,26.5,South,New
12101,2022-10-11,Mouse,Accessories,2.0,24.31,48.63,Central,Premium
12049,2022-10-02,Monitor,Display,4.0,263.28,1053.12,North,Premium
12081,2022-10-08,Mouse,Accessories,1.0,22.63,22.63,Central,VIP
10941,2022-05-10,Monitor,Display,4.0,332.01,1328.06,North,New
14337,2023-06-02,Webcam,Accessories,5.0,64.45,322.24,Central,New
15064,2023-09-28,Case,Components,5.0,70.3,351.49,North,VIP
12884,2023-01-17,Mouse,Accessories,8.0,26.26,210.08,East,Regular
11139,2022-06-03,Power Supply,Components,4.0,88.01,352.03,West,New
11929,2022-10-25,Webcam,Accessories,7.0,52.44,367.05,East,VIP
10930,2022-05-26,Motherboard,Components,1.0,219.42,219.42,East,Regular
15867,2023-11-06,RAM,Components,1.0,81.35,81.35,Central,Regular
